zip_code,po_name,count_open_parks,year,all_school,countyname
27006,Advance,0,2000,1,Davie County
27006,Advance,0,2001,1,Davie County
27006,Advance,0,2002,1,Davie County
27006,Advance,0,2003,1,Davie County
27006,Advance,0,2004,1,Davie County
27006,Advance,0,2005,1,Davie County
27006,Advance,0,2006,1,Davie County
27006,Advance,0,2007,2,Davie County
27006,Advance,0,2008,2,Davie County
27006,Advance,0,2009,2,Davie County
27006,Advance,0,2010,2,Davie County
27006,Advance,0,2011,2,Davie County
27006,Advance,0,2012,2,Davie County
27006,Advance,0,2013,2,Davie County
27006,Advance,0,2014,2,Davie County
27006,Advance,0,2015,2,Davie County
27006,Advance,0,2016,2,Davie County
27006,Advance,0,2017,2,Davie County
27006,Advance,0,2018,2,Davie County
27010,Bethania,15,2000,9,Forsyth County
27010,Bethania,15,2001,10,Forsyth County
27010,Bethania,15,2002,10,Forsyth County
27010,Bethania,15,2003,10,Forsyth County
27010,Bethania,15,2004,12,Forsyth County
27010,Bethania,15,2005,14,Forsyth County
27010,Bethania,15,2006,15,Forsyth County
27010,Bethania,15,2007,15,Forsyth County
27010,Bethania,15,2008,16,Forsyth County
27010,Bethania,15,2009,18,Forsyth County
27010,Bethania,15,2010,18,Forsyth County
27010,Bethania,15,2011,17,Forsyth County
27010,Bethania,15,2012,16,Forsyth County
27010,Bethania,15,2013,17,Forsyth County
27010,Bethania,15,2014,17,Forsyth County
27010,Bethania,15,2015,14,Forsyth County
27010,Bethania,15,2016,13,Forsyth County
27010,Bethania,15,2017,13,Forsyth County
27010,Bethania,15,2018,13,Forsyth County
27106,Winston Salem,15,2000,9,Forsyth County
27106,Winston Salem,15,2001,10,Forsyth County
27106,Winston Salem,15,2002,10,Forsyth County
27106,Winston Salem,15,2003,10,Forsyth County
27106,Winston Salem,15,2004,12,Forsyth County
27106,Winston Salem,15,2005,14,Forsyth County
27106,Winston Salem,15,2006,15,Forsyth County
27106,Winston Salem,15,2007,15,Forsyth County
27106,Winston Salem,15,2008,16,Forsyth County
27106,Winston Salem,15,2009,18,Forsyth County
27106,Winston Salem,15,2010,18,Forsyth County
27106,Winston Salem,15,2011,17,Forsyth County
27106,Winston Salem,15,2012,16,Forsyth County
27106,Winston Salem,15,2013,17,Forsyth County
27106,Winston Salem,15,2014,17,Forsyth County
27106,Winston Salem,15,2015,14,Forsyth County
27106,Winston Salem,15,2016,13,Forsyth County
27106,Winston Salem,15,2017,13,Forsyth County
27106,Winston Salem,15,2018,13,Forsyth County
27116,Winston Salem,15,2000,9,Forsyth County
27116,Winston Salem,15,2001,10,Forsyth County
27116,Winston Salem,15,2002,10,Forsyth County
27116,Winston Salem,15,2003,10,Forsyth County
27116,Winston Salem,15,2004,12,Forsyth County
27116,Winston Salem,15,2005,14,Forsyth County
27116,Winston Salem,15,2006,15,Forsyth County
27116,Winston Salem,15,2007,15,Forsyth County
27116,Winston Salem,15,2008,16,Forsyth County
27116,Winston Salem,15,2009,18,Forsyth County
27116,Winston Salem,15,2010,18,Forsyth County
27116,Winston Salem,15,2011,17,Forsyth County
27116,Winston Salem,15,2012,16,Forsyth County
27116,Winston Salem,15,2013,17,Forsyth County
27116,Winston Salem,15,2014,17,Forsyth County
27116,Winston Salem,15,2015,14,Forsyth County
27116,Winston Salem,15,2016,13,Forsyth County
27116,Winston Salem,15,2017,13,Forsyth County
27116,Winston Salem,15,2018,13,Forsyth County
27011,Boonville,0,2000,2,Yadkin County
27011,Boonville,0,2001,2,Yadkin County
27011,Boonville,0,2002,2,Yadkin County
27011,Boonville,0,2003,2,Yadkin County
27011,Boonville,0,2004,2,Yadkin County
27011,Boonville,0,2005,2,Yadkin County
27011,Boonville,0,2006,2,Yadkin County
27011,Boonville,0,2007,2,Yadkin County
27011,Boonville,0,2008,3,Yadkin County
27011,Boonville,0,2009,3,Yadkin County
27011,Boonville,0,2010,3,Yadkin County
27011,Boonville,0,2011,3,Yadkin County
27011,Boonville,0,2012,3,Yadkin County
27011,Boonville,0,2013,3,Yadkin County
27011,Boonville,0,2014,3,Yadkin County
27011,Boonville,0,2015,3,Yadkin County
27011,Boonville,0,2016,3,Yadkin County
27011,Boonville,0,2017,3,Yadkin County
27011,Boonville,0,2018,3,Yadkin County
27012,Clemmons,2,2000,6,Forsyth County
27012,Clemmons,2,2000,6,Davidson County
27012,Clemmons,2,2001,3,Forsyth County
27012,Clemmons,2,2001,3,Davidson County
27012,Clemmons,2,2002,3,Forsyth County
27012,Clemmons,2,2002,3,Davidson County
27012,Clemmons,2,2003,3,Forsyth County
27012,Clemmons,2,2003,3,Davidson County
27012,Clemmons,2,2004,3,Forsyth County
27012,Clemmons,2,2004,3,Davidson County
27012,Clemmons,2,2005,5,Forsyth County
27012,Clemmons,2,2005,5,Davidson County
27012,Clemmons,2,2006,5,Forsyth County
27012,Clemmons,2,2006,5,Davidson County
27012,Clemmons,2,2007,7,Forsyth County
27012,Clemmons,2,2007,7,Davidson County
27012,Clemmons,2,2008,7,Forsyth County
27012,Clemmons,2,2008,7,Davidson County
27012,Clemmons,2,2009,4,Forsyth County
27012,Clemmons,2,2009,4,Davidson County
27012,Clemmons,2,2010,4,Forsyth County
27012,Clemmons,2,2010,4,Davidson County
27012,Clemmons,2,2011,4,Forsyth County
27012,Clemmons,2,2011,4,Davidson County
27012,Clemmons,2,2012,4,Forsyth County
27012,Clemmons,2,2012,4,Davidson County
27012,Clemmons,2,2013,4,Forsyth County
27012,Clemmons,2,2013,4,Davidson County
27012,Clemmons,2,2014,4,Forsyth County
27012,Clemmons,2,2014,4,Davidson County
27012,Clemmons,2,2015,4,Forsyth County
27012,Clemmons,2,2015,4,Davidson County
27012,Clemmons,2,2016,5,Forsyth County
27012,Clemmons,2,2016,5,Davidson County
27012,Clemmons,2,2017,5,Forsyth County
27012,Clemmons,2,2017,5,Davidson County
27012,Clemmons,2,2018,5,Forsyth County
27012,Clemmons,2,2018,5,Davidson County
27013,Cleveland,0,2000,1,Rowan County
27013,Cleveland,0,2000,1,Iredell County
27013,Cleveland,0,2001,1,Rowan County
27013,Cleveland,0,2001,1,Iredell County
27013,Cleveland,0,2002,1,Rowan County
27013,Cleveland,0,2002,1,Iredell County
27013,Cleveland,0,2003,1,Rowan County
27013,Cleveland,0,2003,1,Iredell County
27013,Cleveland,0,2004,1,Rowan County
27013,Cleveland,0,2004,1,Iredell County
